"filename", "language", "C++", "CMake", "JSON", "Markdown", "Log", "C", "Makefile", "CMake Cache", "Database", "comment", "blank", "total"
"/home/fancy/文档/cpp_project/Magic+/include/Loop.hpp", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/home/fancy/文档/cpp_project/Magic+/include/OpString.hpp", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 41
"/home/fancy/文档/cpp_project/Magic+/main.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 25
"/home/fancy/文档/cpp_project/Magic+/src/Admin.cpp", "C++", 80, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 103
"/home/fancy/文档/cpp_project/Magic+/src/Arithmetic.cpp", "C++", 231, 0, 0, 0, 0, 0, 0, 0, 0, 20, 26, 277
"/home/fancy/文档/cpp_project/Magic+/src/CmdAnaly.cpp", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 62
"/home/fancy/文档/cpp_project/Magic+/src/DataBase.cpp", "C++", 180, 0, 0, 0, 0, 0, 0, 0, 0, 27, 14, 221
"/home/fancy/文档/cpp_project/Magic+/src/Loop.cpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 27
"/home/fancy/文档/cpp_project/Magic+/src/OpString.cpp", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 89
"Total", "-", 1273, 574, 2407, 17, 425, 507, 377, 321, 10, 410, 798, 7119
